"ofolder","mod.file.name","waic","mean_log_cpo","mean_log_gcpo","Log.precision.for.the.Gaussian.observations.2.","Log.precision.for.ws.w_group","Log.precision.for.t","Rho_intern.for.t","Group.rho_intern.for.t","Beta_intern.for.eta.1","tags","fname","intern.precision.parameter.for.the.beta.observations.2.","Log.precision.for.fcst_group","Intern.PACF1.for.t","Intern.PACF2.for.t","Log.precision.for.hour","log.Range..for.spatial","log.Stdev..for.spatial","Group.rho_intern.for.spatial","V1","intern.precision.parameter.for.the.beta.observations","Log.precision.for.fd_group","Log.precision.for.the.Gaussian.observations"
"AR2-PR-NPB_f","r_actuals.cf_f_beta_eta_feat_fcst_group-ar2g-etaderiv.rds",-16871.5038425612,-1.46222370620832,NA,NA,NA,-1.23027504838001,NA,2.38980696641664,1.11231309897339,"intern precision-parameter for the beta observations[2], Log precision for fcst_group, Log precision for t, Intern PACF1 for t, Intern PACF2 for t, Group rho_intern for t, Beta_intern for eta.1","var_scores_r_actuals.cf_f_beta_eta_feat_fcst_group-ar2g-etaderiv.csv",4.39909254194731,-5.90554306910846,4.16942548922089,-0.920623982163535,NA,NA,NA,NA,NA,NA,NA,NA
"AR2-PR-NPB_fh","r_actuals.cf_f_beta_eta_feat_fcst_group-hour-ar2g-etaderiv.rds",-16844.0194989046,-1.31900773615797,NA,NA,NA,-1.22990253828367,NA,2.38162180119756,1.18213818295015,"intern precision-parameter for the beta observations[2], Log precision for fcst_group, Log precision for hour, Log precision for t, Intern PACF1 for t, Intern PACF2 for t, Group rho_intern for t, Beta_intern for eta.1","var_scores_r_actuals.cf_f_beta_eta_feat_fcst_group-hour-ar2g-etaderiv.csv",4.39870464141033,-5.642499216275,4.18815122644728,-0.922867680628075,7.31884411218236,NA,NA,NA,NA,NA,NA,NA
"AR2-PR-NPB_wf","r_actuals.cf_f_beta_eta_feat_ws.w_group-fcst_group-ar2g-etaderiv.rds",-16975.7077959658,-1.5674438597551,NA,NA,4.09790721201967,-1.18403447535903,NA,2.16983899118733,0.842674333351872,"intern precision-parameter for the beta observations[2], Log precision for ws.w_group, Log precision for fcst_group, Log precision for t, Intern PACF1 for t, Intern PACF2 for t, Group rho_intern for t, Beta_intern for eta.1","var_scores_r_actuals.cf_f_beta_eta_feat_ws.w_group-fcst_group-ar2g-etaderiv.csv",4.42559850156524,5.61668663031022,4.07391901138067,-0.851825114684916,NA,NA,NA,NA,NA,NA,NA,NA
