"","Intercept","Gau prec","Wind RW prec","PR effect"
"mean",-0.0587870273156601,39.8582086592822,90.8420414976583,0.236607144155053
"sd",0.00209969970184424,0.735555045216254,41.007559883441,0.0325648572918107
"0.025quant",-0.0628983635136855,38.4272463842757,35.4775288199434,0.166829211563874
"0.5quant",-0.0587892472175631,39.852268716744,82.7928147619061,0.238716419314515
"0.975quant",-0.0546630523000255,41.323284226405,193.310026066027,0.294378643835794
"mode",-0.0587892580218647,39.8422355342931,68.7829026596969,0.242503348860165
