"V1","nationalGridBmUnit","elexonBmUnit","eic","fuelType","leadPartyName","bmUnitType","fpnFlag","bmUnitName","leadPartyId","demandCapacity","generationCapacity","productionOrConsumptionFlag","transmissionLossFactor","workingDayCreditAssessmentImportCapability","nonWorkingDayCreditAssessmentImportCapability","workingDayCreditAssessmentExportCapability","nonWorkingDayCreditAssessmentExportCapability","creditQualifyingStatus","demandInProductionFlag","gspGroupId","gspGroupName","interconnectorId","capacity_alt","diff_cap","capacity"
193,"STLGW-2","T_STLGW-2","48W00000STLGW-2C","WIND","Stronelairg Windfarm Limited","T",TRUE,"Stronelairg Windfarm 2","STLG",-2,108,"P",-0.030134,-0.8,-0.8,43.2,43.2,TRUE,FALSE,NA,NA,NA,82,26,82
194,"STLGW-3","T_STLGW-3","48W00000STLGW-3A","WIND","Stronelairg Windfarm Limited","T",TRUE,"Stronelairg Windfarm 3","STLG",-3.316,108,"P",-0.030134,-1.326,-1.326,43.2,43.2,TRUE,FALSE,NA,NA,NA,72,36,72
195,"STRNW-1","T_STRNW-1","48W00000STRNW-1H","WIND","Strathy Wind Farm Limited","T",TRUE,"Strathy North Wind Farm 1","STRTHWFL",-0.6,70,"P",-0.030134,-0.24,-0.24,28,28,TRUE,FALSE,NA,NA,NA,67,3,70
196,"SWBKW-1","E_SWBKW-1",NA,"WIND","Vattenfall Energy Trading","E",TRUE,"Solwaybank WF","VTS",0,32,"C",-0.0088069,0,0,12.8,12.8,TRUE,FALSE,"_N","South Scotland",NA,30,2,32
197,"TACHW-1","2__PSMAE003",NA,"WIND","Smartestenergy Limited","S",TRUE,"CE Tacher Turbines Limited","SMARTEST",-0.3,12.9,"C",-0.030134,-0.112,-0.102,4.812,4.398,FALSE,FALSE,"_P","North Scotland",NA,NA,NA,12.9
198,"TDBNW-1","T_TDBNW-1","48W00000TDBNW-1W","WIND","SSE Generation Ltd","T",TRUE,"Toddleburn","SSEGEN",-1,31.6,"P",-0.0088069,-0.4,-0.4,12.64,12.64,TRUE,FALSE,NA,NA,NA,28,3.6,28
199,"THNTO-1","T_THNTO-1",NA,"WIND","Thanet Offshore Wind Limited","T",TRUE,"Thanet Offshore Wind Limited 1","TOW",-3,287.699,"P",0.0120522,-1.2,-1.2,115.08,115.08,TRUE,FALSE,NA,NA,NA,146,141.699,146
200,"THNTO-2","T_THNTO-2",NA,"WIND","Thanet Offshore Wind Limited","T",TRUE,"Thanet Offshore Wind Limited 2","TOW",-3,230.159,"P",0.0120522,-1.2,-1.2,92.064,92.064,TRUE,FALSE,NA,NA,NA,149,81.159,149
201,"TKNEW-1","T_TKNEW-1",NA,"WIND","Triton Knoll Offshore Wind","T",TRUE,"Triton Knoll OSP East 1","TKWFL",-6.621,412,"P",0.0073472,-2.648,-2.648,164.8,164.8,TRUE,FALSE,NA,NA,NA,412,0,412
202,"TKNWW-1","T_TKNWW-1",NA,"WIND","Triton Knoll Offshore Wind","T",TRUE,"Triton Knoll OSP west 1","TKWFL",-6.509,412,"P",0.0073472,-2.604,-2.604,164.8,164.8,TRUE,FALSE,NA,NA,NA,412,0,412
203,"TLYMW-1","E_TLYMW-1","48W00000TLYMW-1S","WIND","ECOTRICITY LIMITED","E",TRUE,"Tullymurdoch Wind Farm","RENC",0,13.841,"C",-0.030134,0,0,5.536,5.536,TRUE,FALSE,"_P","North Scotland",NA,14.35,0.509,13.841
204,"TMNCW-1","C__PSTAT011",NA,"WIND","Statkraft Markets Gmbh","S",TRUE,"C__PSTAT011-AAA-NAN-184","STATKRA1",0,44.313,"C",-0.030134,0,0,10.901,10.901,FALSE,FALSE,"_P","North Scotland",NA,39,5.313,39
205,"TRLGW-1","T_TRLGW-1",NA,"WIND","Smartestenergy Limited","T",TRUE,"T_TRLGW-1","SMARTEST",0,18.742,"C",-0.0088069,0,0,7.497,7.497,TRUE,FALSE,NA,NA,NA,18.8,0.0579999999999998,18.742
206,"TULWW-1","E_TULWW-1","48W00000TULWW-1U","WIND","Eneco Energy Trade","E",TRUE,"Tullo Windfarm","ENECOUK",-9.538,17,"P",-0.030134,-3.815,-3.815,6.8,6.8,TRUE,FALSE,"_P","North Scotland",NA,16,1,17
207,"TULWW-2","E_TULWW-2","48W00000TULWW-2S","WIND","Eneco Energy Trade","E",TRUE,"Tullo Extension","ENECOUK",-0.4,25,"C",-0.030134,-0.16,-0.16,10,10,TRUE,FALSE,"_P","North Scotland",NA,25,0,25
208,"TWSHW-1","T_TWSHW-1",NA,"WIND","Twentyshilling Limited","T",TRUE,"Twenty Shilling Wind Farm","TWENTYSH",-7.324,37.8,"P",-0.0088069,-2.93,-2.93,15.12,15.12,TRUE,FALSE,NA,NA,NA,38,0.200000000000003,37.8
209,"VKNGW-1","T_VKNGW-1","48W00000VKNGW-14","WIND","Viking Energy Wind Farm LLP","T",TRUE,"Viking Energy Windfarm BMU-1","VIKING",-3,121.8,"P",-0.030134,-1.2,-1.2,48.72,48.72,TRUE,FALSE,NA,NA,NA,105,16.8,105
