"","intercept","Gaussian $\tau$","Wind $\tau$","Range","Spatial $\sigma$","AR \rho","PR effect"
"mean",-0.044081990204672,185.46826960597,1350.78203235321,6.14646175831033,0.472795009408754,0.981158548152572,-0.0754343945501521
"sd",0.0115230748281042,4.38695488695012,551.667971836132,2.65184861126985,0.201073836283907,0.00247264114898343,0.0238153272070734
"0.025quant",-0.0669252508425316,177.071823921268,485.886060058524,2.13428950926886,0.22381502370183,0.97591412945171,-0.121910738243801
"0.5quant",-0.0440288992883764,185.3855917687,1275.84839868417,5.74182851494512,0.428238574109445,0.98129343778349,-0.0755604113361346
"0.975quant",-0.0215417831080117,194.344032029714,2598.63029557018,12.3151339912539,0.992851095827874,0.985630799075558,-0.0282506366346245
"mode",-0.0440297359775889,185.1530038639,1119.35749944017,4.90827042338848,0.34790593359561,0.981514757130805,-0.0754768653733867
